 O=C(C(CCC)N1CCCC1)C2=CC=C(C)C=C2
 O=C(C(CCC)N1CCCC1)C2=CC=C3C(OCO3)=C2
FC1=CC=CC(=C1)C(C(C)NC)=O
O=C(c1ccccc1)C(C)N
 CC(NCC)CC1=CC=CC=C1
CNC(C)C(=O)c(cc1)ccc1F
CCCC(C(C1=CC2=C(C=C1)C=CC=C2)=O)N3CCCC3
CC1=CC=C(C(C(NC)C)=O)C=C1
 CC(NC)C(=O)C1=CC=C(OCO2)C2=C1
 O=C(C(CCC)NC)C1=CC=CC=C1
 CNC(CC)C(=O)c1ccccc1
 C1=CC(=CC=C1CC(C)N)OC
c2cc1OCOc1cc2C(=O)C(NC)CCC
CCNC(C)Cc1ccc2OCOc2c1
COc1ccc(CC(C)NC)cc1
 NC(C)CC(C=C1)=CC=C1SC
CCC(C(=O)C1=CC2=C(C=C1)OCO2)NC
CC(NCC)C(=O)c1ccc2OCOc2c1
CCC(CC1=CC2=C(C=C1)OCO2)NC
CC(C(=O)C1=CC=CC=C1)N(C)C
NC(CC1=CC=CC=C1)C
CC(NC)CC1=CC=C(OCO2)C2=C1
Cc1ccc(cc1)C(=O)C(C)NCC
 N(C(Cc1ccccc1)C)C
O=C(c1ccccc1)C(NCC)C
 O=C(c1ccc(OC)cc1)C(NC)C
